RK,NAME,KEEP?,POS,,TEAM,AGE,SALARY,FP,/GP,VORP,/$,ADP,DIFF.,,ADJ,GP,TOI,G,A,PTS,SOG,PPG,PPP,SHG,SHP,BLK,HIT,+/-,PIM,GWG,FOW,FOL,FO%,,GP,W,L,OTL,SO,SV,GA,SV%,GAA
10,Brady Tkachuk,N,"C,LW",2,OTT,26,$8.2,733.2,9.2,251.6,37.7,12.0,2.0,,+,80,18.6,35,37,72,330,11,22,0,0,36,243,4,88,6,227,218,51%,,,,,,,,,,
264,Brandon Carlo,N,D,121,TOR,29,$3.5,258.2,3.2,-64.6,-9.7,—,N/A,, ,81,19.6,3,14,17,87,0,0,0,0,146,110,4,40,0,0,0,0%,,,,,,,,,,
505,Brandon Duhaime,N,RW,123,WSH,28,$1.9,285.1,3.6,-213.0,-31.9,—,N/A,, ,79,13.3,9,10,19,92,0,0,1,1,56,175,1,62,1,14,22,39%,,,,,,,,,,
57,Brandon Hagel,N,"LW,RW",19,T.B,27,$6.5,566.9,6.9,85.3,12.8,55.0,-2.0,, ,82,20.8,31,50,82,218,3,11,1,4,56,62,10,52,5,13,25,35%,,,,,,,,,,
56,Brandon Montour,N,D,22,SEA,31,$7.1,410.8,5.2,88.0,13.2,88.0,32.0,, ,79,22.8,13,29,43,211,2,11,0,0,98,88,-6,53,2,0,0,0%,,,,,,,,,,
560,Brandon Saad,N,LW,150,VGK,33,$2.0,220.4,2.8,-261.3,-39.2,—,N/A,, ,79,12.5,14,14,28,118,1,2,0,0,22,24,5,14,3,8,12,39%,,,,,,,,,,
502,Brandon Tanev,N,"LW,RW",127,UTA,34,$2.5,271.4,3.4,-210.3,-31.5,—,N/A,, ,79,12.3,8,11,19,92,0,0,0,0,79,152,-2,28,1,6,22,21%,,,,,,,,,,
96,Brandt Clarke,N,D,38,L.A,23,$0.9,372.3,4.7,49.5,7.4,—,N/A,,+,79,19.3,7,34,41,163,1,11,0,0,145,50,3,51,1,0,0,0%,,,,,,,,,,
173,Brayden McNabb,N,D,66,VGK,35,$3.7,312.6,3.8,-10.2,-1.5,—,N/A,, ,82,20.3,3,17,21,96,0,0,0,1,175,135,8,37,1,0,0,0%,,,,,,,,,,
366,Brayden Pachal,N,D,164,CGY,26,$1.2,200.8,2.9,-122.0,-18.3,—,N/A,, ,69,14.3,3,8,11,60,0,0,0,0,78,131,-4,54,0,0,0,0%,,,,,,,,,,
76,Brayden Point,N,C,19,T.B,30,$9.5,578.7,7.2,66.0,9.9,20.0,-56.0,, ,81,19.5,42,41,83,209,15,28,0,0,45,30,8,14,7,414,447,48%,,,,,,,,,,
336,Brayden Schenn,N,C,65,STL,34,$6.5,407.6,5.0,-105.1,-15.8,—,N/A,, ,82,16.0,17,27,44,129,2,8,0,0,43,158,0,46,3,493,496,50%,,,,,,,,,,
504,Brendan Gallagher,N,RW,122,MTL,33,$6.5,285.8,3.7,-212.3,-31.8,—,N/A,, ,77,13.5,15,14,30,139,2,4,0,0,36,80,1,41,2,2,9,20%,,,,,,,,,,
207,Brenden Dillon,N,D,86,N.J,35,$4.0,288.8,3.6,-34.0,-5.1,—,N/A,, ,81,18.6,4,14,18,64,0,0,0,1,113,178,2,65,1,0,0,0%,,,,,,,,,,
255,Brent Burns,N,D,114,COL,40,$1.0,263.7,3.2,-59.1,-8.9,143.0,-112.0,, ,82,17.5,7,20,27,149,1,4,0,0,84,34,6,26,1,0,0,26%,,,,,,,,,,
498,Brett Howden,N,"C,LW",125,VGK,27,$2.5,273.3,3.5,-208.3,-31.2,—,N/A,, ,78,12.4,14,14,28,99,0,0,0,1,47,97,4,36,3,200,200,50%,,,,,,,,,,
297,Brett Kulak,N,D,134,EDM,32,$2.8,234.5,2.9,-88.3,-13.2,—,N/A,, ,82,18.3,4,16,20,116,0,0,0,0,109,56,6,30,1,0,0,0%,,,,,,,,,,
