RK,NAME,KEEP?,POS,,TEAM,AGE,SALARY,FP,/GP,VORP,/$,ADP,DIFF.,,ADJ,GP,TOI,G,A,PTS,SOG,PPG,PPP,SHG,SHP,BLK,HIT,+/-,PIM,GWG,FOW,FOL,FO%,,GP,W,L,OTL,SO,SV,GA,SV%,GAA
102,Kiefer Sherwood,Y,"LW,RW",28,S.J,31,$5.8,349.4,4.4,14.6,1.2,138.4,36.4,, ,80,17.0,21,19,39,175,4,8,2,2,37,355,-1,44,3,21,30,41%,,,,,,,,,,
103,John Tavares,Y,C,34,TOR,35,$4.4,343.1,4.1,14.6,1.2,128.5,25.5,, ,83,17.7,29,36,65,201,8,14,0,0,33,82,2,35,4,803,576,58%,,,,,,,,,,
104,Jakub Dobes,,G,15,MTL,25,$1.0,211.8,4.2,13.1,1.0,81.1,-22.9,, ,,,,,,,,,,,,,,,,,,,,50,28,17,6,3,"1,304",140,0.903,2.81
105,Sergei Bobrovsky,,G,16,TOR,37,$7.0,211.5,4.1,12.8,1.0,90.6,-14.4,,+,,,,,,,,,,,,,,,,,,,,52,28,17,6,2,"1,353",151,0.900,2.90
106,Seth Jones,N,D,33,FLA,31,$7.0,256.3,3.4,12.5,1.0,122.8,16.8,, ,75,24.6,9,32,40,141,5,19,0,0,110,83,3,32,1,0,0,0%,,,,,,,,,,
107,Brandon Montour,N,D,34,SEA,32,$7.1,255.9,3.2,12.1,1.0,114.8,7.8,, ,79,22.5,11,23,34,200,2,8,0,0,99,85,-9,53,1,0,0,0%,,,,,,,,,,
108,Mitch Marner,Y,"C,LW,RW",29,VGK,29,$12.0,346.8,4.2,12.0,1.0,44.6,-63.4,, ,82,19.9,26,63,89,174,7,30,0,1,45,38,7,23,5,88,188,32%,,,,,,,,,,
109,Luke Hughes,Y,D,35,N.J,22,$9.0,255.3,3.2,11.5,0.9,135.2,26.2,,+ +,80,23.2,9,41,50,170,2,17,0,0,78,31,0,33,1,0,0,0%,,,,,,,,,,
110,Nikolaj Ehlers,Y,LW,30,CAR,30,$8.5,339.2,4.1,10.5,0.8,120.3,10.3,, ,82,17.2,28,46,73,220,8,26,0,0,31,36,9,24,5,9,20,31%,,,,,,,,,,
111,Timo Meier,Y,"LW,RW",30,N.J,29,$8.8,344.8,4.2,9.9,0.8,96.8,-14.2,, ,82,17.6,27,26,53,257,9,15,0,0,53,123,0,32,4,44,63,41%,,,,,,,,,,
112,Dmitry Orlov,N,D,36,S.J,35,$6.5,253.5,3.0,9.7,0.8,—,N/A,, ,83,22.6,6,38,44,118,1,19,0,0,90,120,-3,43,1,0,0,0%,,,,,,,,,,
113,Cole Hutson,Y,D,37,WSH,20,$0.9,253.4,3.4,9.6,0.8,90.0,-23.0,, ,74,19.1,11,36,47,113,2,24,0,0,76,89,3,38,2,0,0,0%,,,,,,,,,,
114,Matthew Knies,Y,"LW,RW",31,TOR,23,$7.8,344.4,4.2,9.5,0.8,119.0,5.0,, ,83,19.0,28,41,69,162,6,18,1,1,37,161,-1,42,4,0,5,7%,,,,,,,,,,
115,Steven Stamkos,N,"C,RW",32,NSH,36,$8.0,343.4,4.1,8.6,0.7,125.8,10.8,, ,84,17.8,35,27,63,210,14,25,0,0,40,83,-3,44,5,336,282,54%,,,,,,,,,,
116,Vince Dunn,Y,D,38,SEA,29,$7.4,252.1,3.2,8.3,0.7,125.4,9.4,, ,79,21.7,11,36,46,164,3,17,0,0,92,40,-7,50,1,0,0,0%,,,,,,,,,,
117,Scott Wedgewood,,G,17,COL,34,$2.5,206.9,4.6,8.2,0.7,52.4,-64.6,, ,,,,,,,,,,,,,,,,,,,,45,27,14,5,3,"1,182",120,0.908,2.66
118,Jacob Markstrom,,G,18,FLA,36,$6.0,206.8,4.0,8.0,0.6,72.5,-45.5,, ,,,,,,,,,,,,,,,,,,,,52,29,17,6,3,"1,274",145,0.898,2.78
119,Linus Ullmark,,G,19,OTT,33,$8.3,205.9,4.1,7.2,0.6,132.5,13.5,, ,,,,,,,,,,,,,,,,,,,,50,27,17,6,3,"1,222",131,0.903,2.63
120,Beckett Sennecke,Y,RW,33,ANA,20,$1.0,341.8,4.1,7.0,0.6,103.0,-17.0,,+,83,17.9,27,44,71,212,3,18,0,0,27,96,-3,55,4,3,2,60%,,,,,,,,,,
121,Alex Nikishin,N,D,39,CAR,24,$0.0,248.8,3.0,5.0,0.4,—,N/A,, ,83,19.2,10,24,35,130,3,9,1,1,104,125,8,37,2,0,0,0%,,,,,,,,,,
122,Will Cuylle,N,"LW,RW",34,NYR,24,$3.9,338.8,4.0,3.9,0.3,—,N/A,, ,84,16.7,21,23,45,165,4,7,1,1,62,288,0,56,3,27,47,37%,,,,,,,,,,
123,Zach Hyman,Y,"LW,RW",35,EDM,34,$5.5,337.6,4.3,2.7,0.2,99.0,-24.0,, ,78,19.9,37,25,62,230,12,20,0,0,28,70,10,40,6,1,3,27%,,,,,,,,,,
124,Bryan Rust,Y,RW,36,PIT,34,$5.1,337.1,4.3,2.3,0.2,123.6,-0.4,, ,79,20.0,30,37,67,207,7,22,1,1,70,51,0,28,4,5,11,30%,,,,,,,,,,
