RK,NAME,KEEP?,POS,,TEAM,AGE,SALARY,FP,/GP,VORP,/$,ADP,DIFF.,,ADJ,GP,TOI,G,A,PTS,SOG,PPG,PPP,SHG,SHP,BLK,HIT,+/-,PIM,GWG,FOW,FOL,FO%,,GP,W,L,OTL,SO,SV,GA,SV%,GAA
59,Adam Fox,Y,D,9,NYR,28,$9.5,578.0,7.5,187.0,15.0,58.0,-1.0,, ,77,23.8,13,59,72,136,5,30,0,1,110,47,4,36,2,0,0,0%,,,,,,,,,,
60,Jake Sanderson,Y,D,10,OTT,24,$8.1,575.5,7.1,184.5,14.8,63.7,3.7,, ,81,24.6,14,44,58,179,5,23,0,1,155,49,3,20,2,0,0,25%,,,,,,,,,,
61,Brandon Hagel,Y,"LW,RW",21,T.B,28,$6.5,601.2,7.3,183.1,14.6,37.2,-23.8,, ,82,20.0,34,47,81,229,3,12,1,3,49,55,12,56,6,25,39,39%,,,,,,,,,,
62,Mitch Marner,Y,"C,LW,RW",22,VGK,29,$12.0,600.2,7.3,182.1,14.6,44.6,-17.4,, ,82,19.9,26,63,89,174,7,30,0,1,45,38,7,23,5,88,188,32%,,,,,,,,,,
63,Robert Thomas,Y,C,37,STL,27,$8.1,536.9,6.8,181.2,14.5,74.0,11.0,, ,79,19.1,27,53,80,145,5,21,1,2,47,22,2,30,4,714,629,53%,,,,,,,,,,
64,John Tavares,Y,C,38,TOR,35,$4.4,536.4,6.5,180.8,14.5,128.5,64.5,, ,83,17.7,29,36,65,201,8,14,0,0,33,82,2,35,4,803,576,58%,,,,,,,,,,
65,Jake Guentzel,Y,"LW,RW",23,T.B,31,$9.0,598.1,7.3,179.9,14.4,33.7,-31.3,, ,82,19.0,35,46,80,219,10,29,0,0,39,41,10,32,6,154,208,43%,,,,,,,,,,
66,Lucas Raymond,Y,RW,24,DET,24,$8.1,598.0,7.1,179.8,14.4,69.5,3.5,,+,84,18.8,30,55,85,191,8,32,0,0,33,50,-2,26,5,2,2,55%,,,,,,,,,,
67,Clayton Keller,Y,"LW,RW",25,UTA,28,$7.2,595.7,7.1,177.6,14.2,45.1,-21.9,, ,83,19.1,29,57,86,229,6,30,0,0,33,15,3,35,5,15,24,38%,,,,,,,,,,
68,Jesper Bratt,Y,"LW,RW",26,N.J,28,$7.9,592.8,7.1,174.7,14.0,75.0,7.0,, ,84,19.0,24,57,80,197,6,27,1,1,32,82,2,19,4,2,9,20%,,,,,,,,,,
69,Artemi Panarin,y,LW,26,L.A,34,$11.0,583.0,7.0,171.8,13.7,49.7,-19.3,,- -,83,21.2,31,54,85,246,7,27,0,0,19,19,2,25,5,1,1,44%,,,,,,,,,,
70,Andrei Svechnikov,Y,"LW,RW",27,CAR,26,$7.8,588.4,7.4,170.3,13.6,118.9,48.9,, ,80,17.5,28,39,67,205,10,25,0,0,22,151,6,63,5,7,12,39%,,,,,,,,,,
71,Kirill Marchenko,Y,RW,28,CBJ,26,$3.9,586.6,7.1,168.5,13.5,60.4,-10.6,, ,82,19.2,31,43,74,234,7,25,0,0,43,63,4,29,5,10,16,40%,,,,,,,,,,
72,Jackson LaCombe,N,D,11,ANA,25,$9.0,559.1,6.8,168.1,13.4,79.5,7.5,,+,82,24.9,13,45,58,163,4,20,0,1,137,79,-3,31,2,0,0,0%,,,,,,,,,,
73,Darren Raddysh,Y,D,12,TOR,30,$8.5,558.5,6.9,167.5,13.4,50.4,-22.6,, ,81,23.3,15,46,60,199,7,23,0,0,96,76,3,41,2,0,0,0%,,,,,,,,,,
74,Jakob Chychrun,N,D,13,WSH,28,$9.0,558.2,6.8,167.2,13.4,54.7,-19.3,, ,83,23.2,21,33,55,218,7,19,0,0,118,63,6,58,3,0,0,0%,,,,,,,,,,
75,Vincent Trocheck,Y,C,40,UTA,33,$5.6,522.7,6.4,167.1,13.4,147.4,72.4,, ,81,17.7,19,31,49,133,3,9,3,3,59,185,0,45,3,693,495,58%,,,,,,,,,,
76,Brayden Point,Y,C,41,T.B,30,$9.5,522.3,6.5,166.7,13.3,84.1,8.1,,+,80,18.2,33,41,73,183,12,24,0,0,35,23,9,17,6,366,417,47%,,,,,,,,,,
77,Kiefer Sherwood,Y,"LW,RW",29,S.J,31,$5.8,583.0,7.3,164.9,13.2,138.4,61.4,, ,80,17.0,21,19,39,175,4,8,2,2,37,355,-1,44,3,21,30,41%,,,,,,,,,,
78,Matthew Knies,Y,"LW,RW",30,TOR,23,$7.8,579.9,7.0,161.8,12.9,119.0,41.0,, ,83,19.0,28,41,69,162,6,18,1,1,37,161,-1,42,4,0,5,7%,,,,,,,,,,
79,Will Cuylle,N,"LW,RW",31,NYR,24,$3.9,575.0,6.9,156.9,12.6,—,N/A,, ,84,16.7,21,23,45,165,4,7,1,1,62,288,0,56,3,27,47,37%,,,,,,,,,,
80,Dylan Strome,Y,C,42,WSH,29,$5.0,512.5,6.1,156.9,12.6,144.9,64.9,, ,84,17.9,24,44,68,157,7,25,0,0,55,22,4,34,4,762,615,55%,,,,,,,,,,
81,Charlie McAvoy,Y,D,15,BOS,28,$9.5,546.8,7.1,155.8,12.5,99.6,18.6,, ,77,25.7,11,43,54,139,2,18,0,0,143,98,-1,69,1,0,0,0%,,,,,,,,,,
